case_no,Country
A-16113-00937,INDIA
A-15152-81535,INDIA
A-16209-36508,UNITED STATES OF AMERICA
A-16020-62934,INDIA
A-16060-78092,INDIA
A-16082-87848,INDIA
A-16106-97905,INDIA
A-16112-00112,INDIA
A-16117-01832,INDIA
A-16140-12333,ISRAEL
A-15202-00613,PHILIPPINES
A-15364-55561,INDIA
A-14338-30856,CHINA
A-15328-43452,TAIWAN
A-16012-59936,INDIA
A-16004-56515,INDIA
A-15099-65551,INDIA
A-15054-53028,INDIA
A-15105-67108,INDIA
A-16018-62329,SOUTH KOREA
A-15161-84874,INDIA
A-16081-86863,INDIA
A-16067-81096,INDIA
A-16099-94738,INDIA
A-16110-98957,INDIA
A-16140-11967,INDIA
A-16195-32122,CHINA
A-10278-23429,CHINA
A-16041-71329,INDIA
A-16053-75202,INDIA
A-16060-77908,INDIA
A-16005-56973,INDIA
A-16174-24688,INDIA
A-16167-21963,INDIA
A-16059-77837,TAIWAN
A-16098-94346,INDIA
A-16046-73134,INDIA
A-16099-94708,CHINA
A-16119-03090,TAIWAN
A-16015-61600,CHINA
A-16020-63164,INDIA
A-15363-55271,CHINA
A-15085-61848,INDIA
A-16036-69717,INDIA
A-16039-70598,INDIA
A-16053-75465,CHINA
A-15239-12453,INDIA
A-15236-11162,CHINA
A-15258-17680,INDIA
A-16026-65291,FRANCE
A-16054-76028,INDIA
A-16020-63255,CHINA
A-16036-69869,INDIA
A-16082-87449,CHINA
A-16112-00299,NIGERIA
A-16125-05777,CHINA
A-16071-83327,INDIA
A-15236-11036,GERMANY
A-16097-93751,CHINA
A-16082-87769,INDIA
A-16138-10902,INDIA
A-16158-18338,INDIA
A-16116-01252,VENEZUELA
A-16112-00449,VENEZUELA
A-16012-59871,VENEZUELA
A-16167-22206,SOUTH KOREA
A-16036-69643,COLOMBIA
A-16151-15827,MOROCCO
A-15351-51858,INDIA
A-15342-47642,INDIA
A-15344-49279,INDIA
A-16117-02088,INDIA
A-16175-25363,ISRAEL
A-16134-10116,INDIA
A-16126-06041,INDIA
A-15338-46804,PHILIPPINES
A-16068-81453,CANADA
A-16049-74572,INDIA
A-16133-08880,INDIA
A-16098-94306,INDIA
A-15271-22698,INDIA
A-16008-59207,INDIA
A-16035-69212,INDIA
A-16035-69350,INDIA
A-16055-76567,INDIA
A-16141-12782,INDIA
A-16042-72105,INDIA
A-16043-72488,CHINA
A-16042-71917,INDIA
A-16042-71806,CHINA
A-16075-84524,INDIA
A-16146-14380,INDIA
A-16054-75931,CHINA
A-16118-02825,VIETNAM
A-16168-22627,INDIA
A-16204-35249,INDIA
A-16195-32236,SOUTH KOREA
A-15282-26875,CANADA
A-16147-15227,INDIA
A-16048-73794,INDIA
A-16089-90775,INDIA
A-16039-70637,FRANCE
A-15239-12180,INDIA
A-16155-17640,INDIA
A-16039-70446,INDIA
A-16043-72364,INDIA
A-16077-85998,INDIA
A-16077-85935,INDIA
A-16173-24220,INDIA
A-16176-25677,INDIA
A-16069-82096,INDIA
A-16070-82762,INDIA
A-16084-89030,INDIA
A-16056-77096,CHINA
A-16079-86658,CHINA
A-16042-72102,CHINA
A-16050-74872,INDIA
A-16029-67058,INDIA
A-16130-07526,INDIA
A-16021-63882,CHINA
A-16028-66693,INDIA
A-16040-71115,INDIA
A-16043-72744,INDIA
A-15340-47040,INDIA
A-15268-22148,UNITED KINGDOM
A-16028-66660,INDIA
A-16011-59779,INDIA
A-16028-66578,INDIA
A-15314-37837,INDIA
A-16083-88230,INDIA
A-16106-97987,INDIA
A-16096-93395,CHINA
A-16096-93381,INDIA
A-16109-98679,INDIA
A-16109-98712,CHINA
A-16109-98645,INDIA
A-16026-65567,INDIA
A-15335-45246,INDIA
A-15349-51186,INDIA
A-16140-12335,ISRAEL
A-16137-10689,INDIA
A-16130-07562,INDIA
A-16127-06900,INDIA
A-16141-12999,INDIA
A-16140-12386,CHINA
A-16140-12472,INDIA
A-16117-02408,INDIA
A-16127-06891,INDIA
A-16125-05813,CHINA
A-16092-92027,CHINA
A-16133-09497,INDIA
A-16125-05775,TAIWAN
A-16124-05323,INDIA
A-14232-99983,INDIA
A-16126-06375,INDIA
A-16150-15779,INDIA
A-16152-16344,INDIA
A-16159-18620,INDIA
A-16189-30150,CHINA
A-16179-26628,INDIA
A-16035-69438,INDIA
A-16167-22320,INDIA
A-16133-09556,CHINA
A-16012-59854,INDIA
A-16011-59525,HONG KONG
A-16067-80836,INDIA
A-16088-90168,INDIA
A-16103-95899,INDIA
A-16122-04301,CANADA
A-16125-05737,INDIA
A-16103-95990,INDIA
A-16202-34593,CHINA
A-16012-60334,INDIA
A-16130-07522,INDIA
A-16127-06504,INDIA
A-16126-06149,INDIA
A-16112-00212,INDIA
A-16110-98872,INDIA
A-16110-98979,INDIA
A-16109-98515,INDIA
A-16140-12075,INDIA
A-16118-02983,INDIA
A-16125-05464,INDIA
A-16201-33929,INDIA
A-16201-33924,INDIA
A-16201-33950,IRAN
A-16025-64829,UKRAINE
A-16012-60156,INDIA
A-15125-73361,INDIA
A-16032-67726,INDIA
A-16033-68276,INDIA
A-16032-67789,INDIA
A-16036-70033,INDIA
A-16034-68952,INDIA
A-16036-69825,INDIA
A-16125-05457,CHINA
A-16034-68609,INDIA
A-16103-96003,INDIA
A-16112-00453,CHINA
A-16102-95631,INDIA
A-16181-27662,CHINA
A-16181-27361,CHINA
A-16180-26966,INDIA
A-16116-01411,INDIA
A-16056-76898,INDIA
A-16130-07092,INDIA
A-16040-71027,INDIA
A-15303-34334,INDIA
A-16153-16791,INDIA
A-16118-02486,DOMINICA
A-16203-34761,INDIA
A-15309-36422,INDIA
A-15198-99529,INDIA
A-16039-70431,UNITED STATES OF AMERICA
A-15348-50287,POLAND
A-16208-36120,SOUTH KOREA
A-16152-16178,INDIA
A-16183-28895,CANADA
A-16033-68266,INDIA
A-16042-71877,CHINA
A-16041-71478,INDIA
A-16042-71725,INDIA
A-16042-71884,IRAN
A-15351-51811,RUSSIA
A-16127-06685,INDIA
A-16134-09882,INDIA
A-15365-56280,INDIA
A-16132-08626,INDIA
A-16155-17529,INDIA
A-16154-17027,CHINA
A-16167-22184,CHINA
A-16036-69936,INDIA
A-16013-60619,INDIA
A-16118-02901,CHINA
A-16147-14917,SUDAN
A-16059-77838,INDIA
A-16083-88464,UKRAINE
A-16054-75748,INDIA
A-16071-83372,INDIA
A-16095-92584,CHINA
A-16032-67495,ARGENTINA
A-16146-14188,INDIA
A-16029-67223,INDIA
A-16174-24993,INDIA
A-16174-25021,INDIA
A-16174-24999,INDIA
A-16174-25017,INDIA
A-16174-25023,INDIA
A-16106-97890,INDIA
A-16112-00481,GERMANY
A-16195-32027,INDIA
A-16054-76062,TAIWAN
A-16120-03847,JAPAN
A-16117-01807,INDIA
A-16105-97029,INDIA
A-12257-98797,INDIA
A-16147-14788,INDIA
A-16138-10795,INDIA
A-16145-13566,INDIA
A-16137-10276,INDIA
A-16137-10370,INDIA
A-16132-08200,INDIA
A-16147-14797,INDIA
A-16181-27351,INDIA
A-16174-24559,INDIA
A-16095-92777,CHINA
A-16204-35359,INDIA
A-16036-69988,INDIA
A-16049-74161,AUSTRALIA
A-16050-74688,ZIMBABWE
A-16033-67993,CANADA
A-16180-26847,INDIA
A-16031-67339,BERMUDA
A-16077-86001,AUSTRIA
A-16116-01380,HONG KONG
A-16189-30256,UNITED KINGDOM
A-16180-26756,PHILIPPINES
A-16057-77510,INDIA
A-16096-92986,PHILIPPINES
A-14129-67867,UNITED STATES OF AMERICA
A-16118-02683,PAKISTAN
A-16131-07782,PAKISTAN
A-16025-64589,INDIA
A-16019-62560,IRAN
A-16040-70799,INDIA
A-16062-79027,GREECE
A-16083-88029,INDIA
A-16118-02819,CHINA
A-16119-03130,CANADA
A-16130-07093,INDIA
A-16173-24148,IRELAND
A-16202-34560,CHINA
A-16175-25151,SOUTH KOREA
A-16123-04531,INDIA
A-16103-96239,INDIA
A-16161-20091,SOUTH KOREA
A-16133-09015,INDIA
A-16033-68285,CHINA
A-16139-11535,INDIA
A-16152-16132,INDIA
A-16158-18126,INDIA
A-16006-57893,INDIA
A-15336-45527,INDIA
A-16102-95204,VENEZUELA
A-16152-16170,LEBANON
A-16130-07385,CHINA
A-16134-09604,INDIA
A-15342-48070,DOMINICAN REPUBLIC
A-15112-69329,INDIA
A-15259-18289,INDIA
A-16201-33764,INDIA
A-16109-98373,CHINA
A-16167-22089,FRANCE
A-16049-74393,NIGERIA
A-16036-69647,INDIA
A-16067-81231,INDIA
A-16067-81209,INDIA
A-16113-00797,INDIA
A-16085-89399,TAIWAN
A-16090-91104,INDIA
A-16103-96218,INDIA
A-16090-91123,INDIA
A-16123-04632,INDIA
A-16124-04856,INDIA
A-16209-36398,INDIA
A-15329-43847,MALAYSIA
A-16021-63842,CANADA
A-16133-09274,VENEZUELA
A-16032-67622,CANADA
A-16207-35726,INDIA
A-16174-24623,INDIA
A-16120-03725,INDIA
A-16027-65590,INDIA
A-16054-75746,INDIA
A-16145-13747,INDIA
A-16097-93921,CHINA
A-16092-91929,INDIA
A-16104-96578,INDIA
A-16070-82847,INDIA
A-16053-75278,INDIA
A-16078-86185,INDIA
A-16187-29173,BELGIUM
A-16090-90988,INDIA
A-16053-75490,INDIA
A-15260-18888,INDIA
A-16118-02937,INDIA
A-16140-12155,INDIA
A-15280-26170,INDIA
A-16155-17536,NEPAL
A-16159-18800,KENYA
A-16131-07769,INDIA
A-16023-64470,INDIA
A-16090-91148,INDIA
A-16131-08053,CROATIA
A-16141-12774,INDIA
A-16195-32179,JAPAN
A-16160-19315,INDIA
A-16057-77268,GHANA
A-16105-97428,INDIA
A-16105-97383,INDIA
A-16111-00009,INDIA
A-16111-00014,INDIA
A-16053-75190,BANGLADESH
A-16052-75150,INDIA
A-16099-94754,IRAN
A-16099-95060,CHINA
A-16106-97731,CHINA
A-16106-97790,INDIA
A-15310-37017,INDIA
A-14324-27414,INDIA
A-15294-31018,TAIWAN
A-16251-50108,INDIA
A-16251-50419,INDIA
A-16027-65615,VENEZUELA
A-16172-23992,INDIA
A-16008-59036,FRANCE
A-16053-75550,INDIA
A-16106-97773,INDIA
A-16111-99845,INDIA
A-16167-22220,INDIA
A-16064-80451,NETHERLANDS
A-16161-20160,INDIA
A-15323-41572,INDIA
A-16197-33079,INDIA
A-16193-31109,INDIA
A-16190-30741,INDIA
A-16189-30055,INDIA
A-16194-31852,INDIA
A-16190-30522,NEPAL
A-16190-30596,INDIA
A-16188-29678,INDIA
A-16188-29503,INDIA
A-16188-29611,INDIA
A-16188-29738,INDIA
A-16105-97372,INDIA
A-16042-71998,TAIWAN
A-16131-08012,SYRIA
A-15328-43153,SOUTH KOREA
A-16062-79463,INDIA
A-16062-79451,INDIA
A-16119-03298,INDIA
A-16208-36012,INDIA
A-16033-68315,INDIA
A-16043-72718,PAKISTAN
A-15169-88489,INDIA
A-16095-92670,INDIA
A-16117-02395,INDIA
A-16028-66547,INDIA
A-16028-66576,INDIA
A-16035-69323,UGANDA
A-16068-81757,INDIA
A-16056-77195,CHINA
A-16070-82942,INDIA
A-16081-87181,CANADA
A-16068-81851,INDIA
A-16069-82167,INDIA
A-16068-81556,INDIA
A-16068-81672,INDIA
A-16077-85888,INDIA
A-16092-91805,INDIA
A-16095-92545,CANADA
A-16099-94965,INDIA
A-16095-92502,INDIA
A-16141-12934,INDIA
A-16141-12963,INDIA
A-16143-13046,INDIA
A-16143-13111,INDIA
A-16141-12659,INDIA
A-16141-12691,INDIA
A-16144-13208,INDIA
A-16141-12579,INDIA
A-16143-13043,INDIA
A-16143-13109,INDIA
A-16140-12250,INDIA
A-16139-11430,INDIA
A-16175-25079,INDIA
A-16169-23156,INDIA
A-16162-20339,INDIA
A-16154-17015,INDIA
A-16197-33056,INDIA
A-16155-17927,INDIA
A-16176-25528,INDIA
A-16159-18565,INDIA
A-16194-31762,CHINA
A-16179-26497,INDIA
A-16187-29393,CHINA
A-16173-24067,INDIA
A-16153-16714,INDIA
A-16153-16754,INDIA
A-16153-16793,INDIA
A-16092-92064,HONG KONG
A-16042-72206,INDIA
A-16064-80344,SERBIA
A-16069-82028,INDIA
A-16071-83565,SOUTH KOREA
A-16067-81218,CHINA
A-16097-93649,INDIA
A-16095-92375,CHINA
A-16099-94842,CHINA
A-16117-02391,INDIA
A-16064-80220,INDIA
A-16064-80457,INDIA
A-16141-12836,INDIA
A-16126-05947,INDIA
A-16140-12439,INDIA
A-16140-12337,INDIA
A-16139-11559,INDIA
A-16155-17460,INDIA
A-16196-32929,INDIA
A-16175-25169,INDIA
A-16175-25182,INDIA
A-16161-20027,INDIA
A-16110-99245,INDIA
A-16107-98160,INDIA
A-16105-97017,INDIA
A-16146-14268,INDIA
A-16026-65112,INDIA
A-16147-14931,INDIA
A-16124-04949,SINGAPORE
A-16111-99729,INDIA
A-16110-99340,INDIA
A-16053-75426,INDIA
A-16117-02111,INDIA
A-16106-97669,CHINA
A-16013-60695,CHINA
A-16011-59703,THAILAND
A-16027-66005,CHINA
A-15352-52885,CHINA
A-16061-78868,CHINA
A-16040-71133,FRANCE
A-16013-60515,CHINA
A-16063-79955,CANADA
A-16132-08760,AUSTRALIA
A-16134-09931,CHINA
A-16118-02856,INDIA
A-16133-09540,CHINA
A-16141-12801,ROMANIA
A-16145-14015,INDIA
A-16132-08691,SOUTH KOREA
A-16146-14704,CHINA
A-16146-14443,CHINA
A-16190-30594,CHINA
A-16146-14325,CHINA
A-16133-09488,INDIA
A-16034-68695,TAIWAN
A-16040-71022,INDIA
A-16144-13244,INDIA
A-15203-00795,INDIA
A-16176-25729,INDIA
A-15313-37552,KENYA
A-16120-03748,INDIA
A-16064-80275,INDIA
A-16061-78547,INDIA
A-16106-97862,INDIA
A-16127-06684,INDIA
A-16127-06515,CAMBODIA
A-16204-35072,INDIA
A-16084-88800,INDIA
A-16084-88887,INDIA
A-16175-25445,INDIA
A-16175-25489,INDIA
A-16177-26034,INDIA
A-16178-26046,INDIA
A-16178-26087,INDIA
A-15139-77802,INDIA
A-16134-09764,INDIA
A-16123-04475,INDIA
A-16208-35993,INDIA
A-16200-33581,INDIA
A-15293-30325,SOUTH KOREA
A-16005-57175,PHILIPPINES
A-15166-86814,PHILIPPINES
A-15166-86800,PHILIPPINES
A-16169-23229,PHILIPPINES
A-16169-23270,PHILIPPINES
A-16168-22724,PHILIPPINES
A-16033-68171,INDIA
A-16181-27403,HUNGARY
A-16033-68127,INDIA
A-15363-55438,INDIA
A-16008-59079,INDIA
A-15243-13361,INDIA
A-16029-66947,INDIA
A-16029-67080,SOUTH KOREA
A-16050-74713,INDIA
A-15341-47098,INDIA
A-16013-60605,INDIA
A-16032-67777,INDIA
A-16012-60316,INDIA
A-16074-84107,INDIA
A-16097-93490,INDIA
A-16099-94887,INDIA
A-16070-82649,INDIA
A-16134-09722,INDIA
A-16119-03496,INDIA
A-16054-76038,CHINA
A-16110-99257,FRANCE
A-16078-86528,INDIA
A-16035-69347,INDIA
A-16153-16512,INDIA
A-16131-07906,INDIA
A-16096-93148,INDIA
A-16169-23247,INDIA
A-16170-23432,INDIA
A-16152-16251,INDIA
A-16170-23435,INDIA
A-16170-23437,INDIA
A-16075-84793,PAKISTAN
A-16154-17294,NEPAL
A-16027-66117,CHINA
A-16103-95870,GERMANY
A-16201-33876,INDIA
A-16042-71870,INDIA
A-16119-03612,INDIA
A-16047-73649,INDIA
A-16047-73653,INDIA
A-16084-88821,INDIA
A-15060-54827,CHINA
A-16060-78256,INDIA
A-16035-69402,INDIA
A-16043-72482,INDIA
A-16036-69932,INDIA
A-16043-72525,INDIA
A-16035-69456,INDIA
A-16182-28272,INDIA
A-16077-85709,INDIA
A-16077-85707,INDIA
A-16068-81645,INDIA
A-16068-81615,INDIA
A-16106-98088,INDIA
A-16106-98052,INDIA
A-16060-78242,INDIA
A-16131-07944,INDIA
A-16006-57587,INDIA
A-16019-62572,INDIA
A-16039-70361,INDIA
A-16053-75389,INDIA
A-16120-03604,SOUTH KOREA
A-16120-03600,CHINA
A-16153-16390,CHINA
A-16057-77467,INDIA
A-16057-77560,INDIA
A-16057-77493,INDIA
A-16057-77218,INDIA
A-16055-76429,INDIA
A-16055-76467,INDIA
A-15054-52833,INDIA
A-16110-99157,INDIA
A-16147-15256,INDIA
A-16146-14431,INDIA
A-16130-07389,SOUTH KOREA
A-16130-07250,INDIA
A-16126-06018,INDIA
A-16174-24789,INDIA
A-16090-91075,RUSSIA
A-16187-28980,JORDAN
A-16195-32160,SOUTH KOREA
A-15342-48073,INDIA
A-15352-52799,INDIA
A-16113-00801,INDIA
A-16105-97390,CHINA
