case_no,applicant_citizenship,visa_type,employer_name,job_city,job_state,wages,applicant_highest_education,major_study,decision_date,case_status
A-16047-73292,INDIA,H-1B,4P Consulting Inc.,Marietta,GA,85384,Master's,MECHANICAL AND AEROSPACE ENGINEERING,7/7/2016,Certified
A-16117-02080,INDIA,H-1B,4SIGHT SUPPLY CHAIN GROUP,Butler,NJ,111488,Bachelor's,ELECTRONIC ENGINEERING,6/30/2016,Withdrawn
A-16118-02876,INDIA,H-1B,4SIGHT SUPPLY CHAIN GROUP,Butler,NJ,95139,Bachelor's,COMPUTER ENGINEERING,8/2/2016,Certified
A-16035-69432,COLOMBIA,H-1B,"4SIGHT TECHNOLOGIES, INC",Webster,MA,102045,Bachelor's,SYSTEMS ENGINEERING,6/13/2016,Certified
A-16141-12481,INDIA,H-1B,4X VENTURES LLC,Menlo Park,CA,200366,Bachelor's,ENGINEERING/TECHNOLOGY (COMPUTER SCIENCE),9/14/2016,Certified
A-16141-12461,INDIA,H-1B,4X VENTURES LLC,Menlo Park,CA,138445,Bachelor's,ENGINEERING/TECHNOLOGY (COMPUTER ENGINEERING),9/14/2016,Denied
A-16018-62240,EGYPT,H-1B,5 DESIGN INC.,Hollywood,CA,57574,Bachelor's,ARCHITECTURAL ENGINEERING,5/26/2016,Certified
A-16015-61972,CHINA,H-1B,5 DESIGN INC.,Hollywood,CA,73174,Master's,ARCHITECTURE,5/26/2016,Certified
A-15334-44264,SOUTH KOREA,F-1,"5000 YEARS FOOD, INC.",Chicago,IL,40560,Associate's,ARTS,8/18/2016,Certified
A-16070-82896,CHINA,H-1B,5177 BUILDERS LTD.,Houston,TX,66477,Bachelor's,BEIJING UNIVERSITY OF CIVIL ENGINEERING AND ARCHITECTURE,8/1/2016,Certified
A-16127-06479,SOUTH KOREA,F-1,"55 FULTON MARKET, INC",New York,NY,114317,Master's,ORGANIZATIONAL LEADERSHIP,8/2/2016,Certified
A-16141-12948,THAILAND,F-1,58 E. Colorado Corporation,Los Angeles,CA,59155,Bachelor's,INTERNATIONAL BUSINESS,9/15/2016,Certified
A-16145-13711,SOUTH KOREA,F-1,"6H, Inc d/b/a Coco 3 Beauty Supply",Jacksonville,FL,36566,Associate's,INFORMATION COMMUNICATION,9/15/2016,Certified
A-15329-43614,SOUTH KOREA,F-1,7 ELEVEN,Jamesburg,NJ,18325,None,,8/18/2016,Certified
A-16162-20356,RUSSIA,H-1B,"7THONLINE, INC",New York,NY,81266,Master's,INFORMATION SYSTEMS- TECHNOLOGY LEADERSHIP,9/16/2016,Certified
A-16064-80526,BRAZIL,H-1B,84.51 LLC,Cincinnati,OH,62608,Master's,MASTER OF BUSINESS ADMINISTRATION,6/15/2016,Certified
A-16062-78962,CHINA,H-1B,84.51 LLC,Cincinnati,OH,62608,Master's,APPLIED ECONOMICS,7/28/2016,Certified
A-16238-46198,INDIA,H-1B,84.51 LLC,Cincinnati,OH,62608,Master's,MECHANICAL ENGINEERING,9/7/2016,Denied
A-16074-84090,INDIA,H-1B,89 DEGREES INC.,Burlington,MA,104686,Bachelor's,BIOTECHNOLOGY,7/8/2016,Certified
A-16068-81431,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,COMPUTER SCIENCE & INFORMATION TECHNOLOGY,7/8/2016,Certified
A-16105-97345,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,ADVANCED COMPUTER SCIENCE,7/21/2016,Certified
A-16105-97435,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,SOFTWARE ENGINEERING,7/21/2016,Certified
A-16105-97444,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,ELECTRONICS & COMMUNCIATION ENGINEERING,7/21/2016,Certified
A-16105-97493,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,ELECTRONICS & TELECOMMUNICATION ENGINEERING,7/21/2016,Certified
A-16105-97503,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,INFORMATION SYSTEMS,7/21/2016,Certified
A-16104-96883,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Doctorate,SCIENCE,7/22/2016,Certified
A-16105-97598,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,COMPUTER,7/25/2016,Certified
A-16105-97566,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,COMPUTERS SCIENCE & ENGINEERING,7/25/2016,Certified
A-16104-96957,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,COMPUTER APPLICATIONS,7/25/2016,Certified
A-16105-97273,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,INFORMATION TECHNOLOGY,7/25/2016,Certified
A-16105-97548,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Bachelor's,ENGINEERING,7/25/2016,Certified
A-16105-97559,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,ENGINEERING,7/25/2016,Certified
A-16104-96953,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,75421,Master's,ELECTRICAL ENGINEERING,8/5/2016,Withdrawn
A-16159-18986,INDIA,H-1B,8K MILES SOFTWARE SERVICES INC.,San Ramon,CA,92560,Master's,BIOTECHNOLOGY,9/20/2016,Certified
A-16012-60294,INDIA,H-1B,"8X8, INC.",San Jose,CA,120349,Master's,SOFTWARE ENGINEERING,5/27/2016,Certified
A-16011-59534,INDIA,H-1B,"8X8, INC.",San Jose,CA,120349,Bachelor's,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,5/27/2016,Certified
A-16012-59969,INDIA,H-1B,"8X8, INC.",San Jose,CA,120349,Bachelor's,COMPUTER SCIENCE,5/31/2016,Certified
A-16042-72065,NEPAL,F-1,"8X8, INC.",San Jose,CA,120349,Master's,COMPUTER SCIENCE,6/15/2016,Certified
A-16013-60436,INDIA,H-1B,"8X8, INC.",San Jose,CA,120349,Bachelor's,COMPUTER SCIENCE,6/20/2016,Certified
A-16027-65620,TAIWAN,H-1B,9021Pho Restaurants,Los Angeles,CA,83096,Master's,"MBA, ACCOUNTING CONCENTRATION",6/1/2016,Certified
A-16201-34071,INDIA,H-1B,99 CENT ONLY STORES,Katy,TX,111654,Master's,COMPUTER SCIENCE,9/20/2016,Certified
A-16098-94049,VIETNAM,H-1B,"99 Cents Only Stores Texas, Inc.",Katy,TX,82618,Bachelor's,COMPUTER SCIENCE,7/20/2016,Certified
A-16141-12818,INDIA,H-1B,9TO9 SOFTWARE SOLUTIONS LLC,East Berlin,CT,91062,Master's,ELECTRICAL ENGINEERING,9/15/2016,Certified
A-16138-11121,INDIA,H-1B,9TO9 SOFTWARE SOLUTIONS LLC,East Berlin,CT,91062,Master's,ELECTRICAL ENGINEERING,9/23/2016,Certified
A-16173-24130,VENEZUELA,H-1B,A & D GROUP REALTY LLC,Miami,FL,46010,Bachelor's,ECONOMICS,9/20/2016,Certified
A-16081-86829,INDIA,H-4,A & J PARTNERSHIP DBA HOWARD JOHNSON INN,Vero Beach,FL,46010,Master's,COMMERCE,6/23/2016,Certified
A-16041-71458,SOUTH KOREA,J-1,"A & S PRODUCE, INC.",Vernon,CA,28662,None,,6/9/2016,Certified
A-16046-72994,INDIA,H-1B,A & Z Pharmacy Inc,Shreveport,LA,69950,Bachelor's,PHARMACY,6/15/2016,Certified
A-16070-83035,CANADA,H-1B,"A CARING DOCTOR (MINNESOTA), P.A.",REYNOLDSBURG,OH,67538,Other,VETERINARY MEDICINE,7/8/2016,Certified
A-16068-81896,INDIA,H-1B,"A CARING DOCTOR (NORTH CAROLINA), P.C.",GARNER,NC,47882,Other,VETERINARY MEDICINE,6/23/2016,Certified
A-16070-82799,INDIA,H-1B,"A CARING DOCTOR (NORTH CAROLINA), P.C.",FAYETTEVILLE,NC,70949,Other,VETERINARY MEDICINE,7/8/2016,Certified
A-16043-72724,INDIA,H-1B,"A CARING DOCTOR (TEXAS), PC",HOUSTON,TX,60445,Other,VETERINARY MEDICINE,6/20/2016,Certified
A-16152-16313,INDIA,H-1B,"A CARING DOCTOR (TEXAS), PC",DENTON,TX,53539,Other,VETERINARY MEDICINE,9/16/2016,Certified
A-16130-07262,PHILIPPINES,F-1,"A PLUS FABRIC, INC.",Los Angeles,CA,89523,Bachelor's,BUSINESS ADMINISTRATION,8/5/2016,Certified
A-16145-14025,CHINA,F-1,"A Touch of Brass, Inc.",Chino,CA,44637,Bachelor's,ECONOMICS AND ACCOUNTING,9/16/2016,Certified
A-16067-80897,INDIA,H-1B,"A&J CONSULTING ENGINEERING SERVICES, P.C.",CLIFTON,NJ,89024,Master's,ENERGY MANAGEMENT,7/13/2016,Certified
A-16029-66735,IRELAND,H-1B,A&L Goodbody,New York,NY,124426,Other,LAW,6/2/2016,Certified
A-16034-68473,GERMANY,H-1B,A. T. Still University of Health Sciences,Kirksville,MO,50220,Doctorate,NATURAL SCIENCES WITH CONCENTRATION IN SENSORY AND MOTOR NEUROSCIENCE,6/8/2016,Certified
A-16092-91809,TURKEY,H-1B,A.J WORLDWIDE SERVICES INC.,SECAUCUS,NJ,73757,Bachelor's,FASHION DESIGN,7/15/2016,Certified
A-16141-12651,CHINA,H-1B,A.O. SMITH CORPORATION,MILWAUKEE,WI,46821,Master's,CIVIL & ENVIRONMENTAL ENGINEERING,9/15/2016,Certified
A-16061-78560,INDIA,H-1B,A.O.FOX MEMORIAL HOSPITAL,Oneonta,NY,201178,Other,MEDICINE,6/20/2016,Certified
A-16041-71656,INDIA,H-1B,"A.T. KEARNEY, INC.",Chicago,IL,125174,Master's,SUPPLY CHAIN MANAGEMENT,6/13/2016,Certified
A-16061-78758,INDIA,H-1B,"A.T. KEARNEY, INC.",Chicago,IL,125174,Bachelor's,ENGINEERING,6/20/2016,Certified
A-15247-14880,INDIA,H-1B,A.W. CHESTERTON CO.,Groveland,MA,164362,Master's,MBA WITH A CONCENTRATION IN BUSINESS ADMINISTRATION,6/2/2016,Denied
A-15317-39084,ITALY,H-1B,"A.Zerega'sSons ,Inc.",Lee's Summit,MO,81869,None,,7/1/2016,Certified
A-16075-84632,SOUTH KOREA,F-1,"A-1 Cleaners, Inc.",Arlington,TX,18824,None,,7/26/2016,Certified
A-16071-83209,SOUTH KOREA,F-1,A-1 Trading Company Inc,Doraville,GA,31408,Bachelor's,BUSINESS ADMINISTRATION,6/23/2016,Certified
A-16027-65737,JAPAN,H-1B,"A10 NETWORKS, INC. (FORMERLY RAKSHA NETWORKS, INC)",San Jose,CA,116822,Bachelor's,ELECTRICAL & ELECTRONIC ENGINEERING (EDGE),6/1/2016,Certified
A-16066-80681,INDIA,H-1B,"A10 NETWORKS, INC. (FORMERLY RAKSHA NETWORKS, INC)",San Jose,CA,96228,Master's,TELECOMMUNICATIONS SYSTEMS MANAGEMENT,6/23/2016,Certified
A-16067-80794,INDIA,H-1B,"A10 NETWORKS, INC. (FORMERLY RAKSHA NETWORKS, INC)",San Jose,CA,87131,Master's,ELECTRICAL ENGINEERING,6/23/2016,Certified
A-16167-22108,INDIA,H-1B,"A10 NETWORKS, INC. (FORMERLY RAKSHA NETWORKS, INC)",San Jose,CA,117771,Master's,ELECTRICAL ENGINEERING,9/20/2016,Certified
A-16047-73444,SOUTH KOREA,H-1B,A123 SYSTEMS LLC,Livonia,MI,99486,Bachelor's,ENGINEERING,7/7/2016,Certified
A-15341-47569,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119283,Master's,ELECTRICAL ENGINEERING,5/27/2016,Certified
A-16016-62042,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,COMPUTER SCIENCE,5/27/2016,Certified
A-15350-51768,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,ELECTRICAL ENGINEERING/COMPUTER SCIENCE,5/27/2016,Certified
A-15358-54496,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,ELECTRICAL ENGINEERING,5/27/2016,Certified
A-16025-64831,CHINA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119350,Master's,ELECTRICAL ENGINEERING,5/27/2016,Certified
A-16025-64810,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119350,Master's,INFORMATION SECURITY TECHNOLOGY AND MGMT,5/31/2016,Certified
A-16027-66058,MEXICO,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,88254,Bachelor's,COMPUTER ENGINEERING,6/1/2016,Certified
A-16027-65763,MALAYSIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,106517,Bachelor's,ELECTRICAL ENGINEERING,6/1/2016,Certified
A-16027-65872,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119283,Master's,COMPUTER INFORMATION SYSTEMS,6/2/2016,Certified
A-16032-67660,CANADA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,154440,Bachelor's,COMPUTER ENGINEERING,6/2/2016,Certified
A-16032-67880,AUSTRIA,J-2,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,121764,Master's,COMPUTER SCIENCE,6/2/2016,Certified
A-16027-66123,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,TELECOMMUNICATIONS,6/3/2016,Certified
A-16025-64771,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119350,Master's,COMPUTER SCIENCE,6/3/2016,Certified
A-16033-68150,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,130562,Master's,ELECTRICAL ENGINEERING,6/7/2016,Certified
A-16041-71266,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Bachelor's,ELECTRONIC ENGINEERING,6/8/2016,Certified
A-15340-46985,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,INFORMATION NETWORKING,6/13/2016,Certified
A-16026-65022,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,COMPUTER SCIENCE,6/16/2016,Certified
A-16059-77832,INDIA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,120349,Master's,INFORMATION SYSTEMS,6/17/2016,Certified
A-16050-75001,CHINA,H-1B,"A2Z DEVELOPMENT CENTER, INC.",Sunnyvale,CA,119350,Master's,COMPUTER SCIENCE,6/17/2016,Certified
